"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"DR1TM161" "continuous" 3703 TRUE "-0.020988758579901" "0.0127174575679803" "0.118352852756195" "None" "None" 0.118352852756195 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.422397250354005
"LBXHCB" "continuous" 448 TRUE "0.450690256432354" "0.279027881256891" "0.127097534471923" "None" "None" 0.127097534471923 "logLBXB12" "WTMEC4YR" 1 0.445918468401493
"LBX028" "continuous" 212 TRUE "5.65079616651356" "2.35923352406745" "0.138896872698299" "None" "None" 0.138896872698299 "logLBXB12" "WTSPO4YR" 1 0.47919421080913
"CALCIUM_mg" "continuous" 3735 TRUE "2.93015927116367e-05" "1.9014582234491e-05" "0.142858738673885" "None" "None" 0.142858738673885 "logLBXB12" "WTMEC4YR" 1 0.484782932876955
"URXUSB" "continuous" 950 TRUE "-0.0722403350887582" "0.0478685017627113" "0.150755916359991" "None" "None" 0.150755916359991 "logLBXB12" "WTSHM4YR" 1 0.487182281632838
"URXP22" "continuous" 552 TRUE "-0.00715120490773981" "0.00373855297910372" "0.151703509141856" "None" "None" 0.151703509141856 "logLBXB12" "WTMEC4YR" 1 0.487182281632838
"DR1TS060" "continuous" 3703 TRUE "0.0506237458786959" "0.033650709068596" "0.151964479546233" "None" "None" 0.151964479546233 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.487182281632838
"DR1TM201" "continuous" 3703 TRUE "-0.0615899573258453" "0.04109659592057" "0.153431134754858" "None" "None" 0.153431134754858 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.487182281632838
"LBX146" "continuous" 484 TRUE "6.2791854343398" "4.23530988472181" "0.15761427742418" "None" "None" 0.15761427742418 "logLBXB12" "WTSPO4YR" 1 0.487182281632838
"DR1TS040" "continuous" 3703 TRUE "0.0273532980785454" "0.0184532383289977" "0.157687018692754" "None" "None" 0.157687018692754 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.487182281632838
"LBX172" "continuous" 444 TRUE "8.10192634633432" "5.52289590601069" "0.161764209199114" "None" "None" 0.161764209199114 "logLBXB12" "WTSPO4YR" 1 0.492429283885538
