ID,SDMVPSU,SDMVSTRA,WTMEC8YR,WTDR8YR,WTSVOC8Y,WTSHM8YR,WTSPO8YR,WTSAU8YR,WTSAF8YR,WTSCI8YR,WTSPH8YR
189,189,2,0,NA,NA,NA,NA,NA,NA,NA,NA
190,190,1,4664.112762,4411.768523,2.545,15298.28986,NA,NA,4972.024412,10836.60971,NA
191,191,1,1270.833894,1717.289244,5,3558.334903,NA,NA,1671.801029,2110.474182,NA
192,192,2,17634.50463,19405.32628,NA,62249.80134,NA,NA,21535.10257,39641.55999,NA
193,193,2,18618.05933,44976.12413,NA,65721.74944,NA,NA,18489.6006,NA,NA
194,194,1,3971.325018,2682.10157,NA,10960.85705,NA,NA,NA,8216.608186,NA
195,195,2,6295.684684,3449.146206,NA,NA,NA,0,NA,NA,NA
196,196,1,1527.089528,NA,NA,NA,6688.652134,NA,NA,4010.383983,NA
197,197,2,17178.02416,16313.41819,4.705,51362.29224,NA,NA,NA,42552.02903,NA
198,198,2,9798.079386,8215.628623,NA,NA,36252.89373,NA,NA,NA,NA
199,199,2,61405.45015,79489.21403,NA,NA,246235.8551,NA,60939.09493,NA,NA
200,200,2,8178.606667,10380.56401,NA,NA,NA,NA,NA,NA,NA
201,201,2,0,NA,NA,NA,NA,NA,NA,NA,NA
202,202,2,3424.501989,4702.619195,NA,9862.565729,7876.354575,NA,NA,8949.523618,NA
203,203,2,2981.077512,2056.571799,NA,8585.503236,NA,NA,NA,7790.687139,NA
204,204,1,4581.05827,3279.811638,NA,NA,NA,NA,NA,NA,NA
205,205,1,67094.38222,78447.24987,NA,NA,NA,193231.8208,NA,152681.7248,NA
206,206,1,17393.98225,18064.54932,2.315,NA,NA,48877.09013,NA,NA,NA
207,207,2,25636.56314,23801.50782,NA,NA,NA,NA,NA,67692.8936,NA
208,208,2,3422.497107,3726.851885,NA,NA,NA,NA,NA,NA,NA
209,209,1,22248.49985,27987.12731,NA,NA,97893.39934,NA,NA,52474.90345,NA
210,210,1,23931.10549,34212.78368,NA,NA,NA,NA,NA,NA,NA
211,211,2,17489.47401,23132.92601,3.015,NA,NA,50194.79042,NA,37408.84202,NA
212,212,2,6539.403122,5836.715347,NA,NA,13667.35253,NA,NA,NA,NA
213,213,2,1113.043225,611.9641827,NA,NA,3372.520971,NA,NA,NA,NA
214,214,1,4398.628831,NA,NA,NA,8445.367356,11656.3664,NA,NA,NA
215,215,1,0,NA,NA,NA,NA,NA,NA,NA,NA
216,216,1,0,NA,NA,NA,NA,NA,NA,NA,NA
217,217,1,1429.336805,1958.92504,NA,3944.969583,NA,NA,NA,3753.66953,NA
218,218,1,3756.852101,3973.851389,NA,NA,NA,NA,NA,NA,NA
219,219,1,24043.31627,26877.42057,NA,NA,105790.5916,NA,NA,NA,NA
220,220,2,18204.09255,10326.03882,NA,NA,NA,56978.80969,NA,51511.83874,NA
221,221,1,6102.688013,4255.288227,8.91,20016.81668,NA,NA,NA,NA,NA
222,222,2,6725.943441,NA,NA,NA,NA,NA,NA,NA,NA
223,223,1,11622.93523,NA,NA,NA,NA,31614.38383,13505.43422,NA,NA
224,224,1,2968.477577,4313.394775,NA,NA,6827.498426,11458.32345,NA,7757.758724,NA
225,225,1,19027.29679,24447.90404,3.17,NA,NA,NA,NA,NA,NA
226,226,1,33171.02066,41796.28975,NA,106147.2661,NA,NA,NA,NA,NA
227,227,1,2525.617505,5772.41171,NA,NA,NA,9066.966843,NA,NA,NA
228,228,1,20721.74071,NA,NA,NA,NA,0,NA,NA,NA
229,229,2,1396.398456,2190.387138,NA,3854.059739,NA,NA,NA,3282.284531,NA
230,230,1,4057.013472,3324.801195,NA,NA,NA,NA,NA,NA,NA
231,231,2,16825.45259,15974.64982,NA,NA,46774.75819,NA,NA,NA,NA
232,232,2,4183.545842,2627.305377,3.03,11546.58652,NA,NA,NA,8649.6662,NA
233,233,2,0,NA,NA,NA,NA,NA,NA,NA,NA
234,234,2,1822.236847,2651.440889,2.795,5648.934225,NA,NA,NA,NA,NA
235,235,1,21178.01966,NA,NA,NA,NA,NA,NA,NA,NA
236,236,1,5228.455412,5438.60975,NA,14430.53694,NA,NA,6612.53675,11730.87471,NA
237,237,2,11706.80635,11117.57824,4.015,42027.43478,NA,NA,NA,NA,NA
238,238,2,784.5851408,642.982734,NA,NA,NA,NA,NA,NA,NA
239,239,3,29097.87868,35162.98824,2.75,NA,NA,87293.63605,NA,67678.38977,NA
240,240,1,8466.635056,8240.61809,NA,NA,NA,NA,NA,NA,NA
241,241,1,8142.369018,7717.311713,NA,NA,NA,NA,NA,NA,NA
242,242,2,0,NA,NA,NA,NA,NA,NA,NA,NA
243,243,2,16252.77131,18737.19597,NA,NA,NA,50871.17422,NA,NA,NA
244,244,2,2342.137945,2326.371754,NA,NA,NA,7330.891769,NA,6150.832893,NA
245,245,1,1355.999258,1550.456892,NA,NA,3674.757989,NA,NA,NA,NA
246,246,2,47717.39765,58282.23354,NA,NA,102115.231,159376.1081,NA,NA,NA
247,247,1,5416.790217,NA,NA,NA,11321.09155,NA,NA,10506.95473,NA
248,248,1,22174.2561,48651.07379,NA,76944.66868,NA,NA,NA,NA,NA
249,249,2,2540.006057,NA,NA,NA,NA,NA,NA,NA,NA
250,250,2,42762.12376,42417.29939,2.565,NA,121444.4315,NA,43174.91957,89903.71562,NA
251,251,2,2590.484433,1787.111274,NA,NA,NA,9999.269912,NA,NA,NA
252,252,1,3430.333164,2366.502186,NA,9742.146187,NA,NA,NA,8964.762693,NA
253,253,2,5328.66368,3235.833498,NA,NA,NA,NA,NA,10336.01558,NA
254,254,2,999.8395727,NA,NA,NA,NA,3589.424066,NA,NA,NA
255,255,2,1414.170249,3102.737733,NA,NA,5868.806533,NA,NA,3212.595878,NA
256,256,1,1407.55828,827.6412133,NA,NA,3814.482939,NA,NA,NA,NA
257,257,2,19532.55337,18549.43901,5.085,58402.33459,NA,NA,NA,NA,NA
258,258,2,4597.46022,4474.730941,NA,NA,NA,NA,NA,12014.90872,NA
259,259,2,32515.4806,20274.15862,2.92,106000.4668,NA,NA,NA,91727.52682,NA
260,260,1,8958.831402,6740.678777,NA,NA,26428.55264,NA,9890.587549,NA,NA
261,261,1,0,NA,NA,NA,NA,NA,NA,NA,NA
262,262,2,9365.688633,7964.093246,NA,NA,NA,NA,NA,NA,NA
263,263,1,1394.034173,766.4562926,NA,3847.534318,NA,NA,NA,NA,NA
264,264,2,1272.29273,530.7922137,NA,3511.527935,NA,NA,NA,3361.742215,NA
265,265,2,49961.68875,27637.032,NA,161875.8716,NA,NA,NA,NA,53107.82428
266,266,2,3402.003781,2330.548673,4.47,NA,NA,NA,NA,9853.258727,NA
267,267,2,27894.79182,32614.79772,2.74,NA,84800.16714,NA,29414.02216,NA,NA
268,268,1,8958.831402,14673.0204,NA,NA,NA,31983.0281,11696.78598,20191.141,NA
269,269,2,46918.97567,64093.41835,NA,164216.4148,NA,NA,NA,110235.8586,48054.91772
