SMD220	smoking behavior
SMD190	smoking behavior
SMD160	smoking behavior
SMD130	smoking behavior
SMD100TR	smoking behavior
SMD100NI	smoking behavior
SMD100MN	smoking behavior
SMD100FL	smoking behavior
SMD100CO	smoking behavior
SMD090	smoking behavior
SMD080	smoking behavior
SMD075	smoking behavior
SMD070	smoking behavior
SMD057	smoking behavior
SMD055	smoking behavior
SMD030	smoking behavior
anyone_to_help_social	social support
first_degree_support	social support
number_close_friends	social support
SXQ020	sexual behavior
SXQ270	bacterial infection
SXQ280	sexual behavior
TBQ020	bacterial infection
TBQ030	bacterial infection
TBQ040	bacterial infection
TBQ050	bacterial infection
TBQ060	bacterial infection
DR1TALCO	food component recall
DR1TCAFF	food component recall
DR1TCALC	food component recall
DR1TCARB	food component recall
DR1TCARO	food component recall
DR1TCHOL	food component recall
DR1TCOPP	food component recall
DR1TFIBE	food component recall
DR1TIRON	food component recall
DR1TKCAL	food component recall
DR1TM161	food component recall
DR1TM181	food component recall
DR1TM201	food component recall
DR1TM221	food component recall
DR1TMAGN	food component recall
DR1TMFAT	food component recall
DR1TNIAC	food component recall
DR1TP182	food component recall
DR1TP183	food component recall
DR1TP184	food component recall
DR1TP204	food component recall
DR1TP205	food component recall
DR1TP225	food component recall
DR1TP226	food component recall
DR1TPFAT	food component recall
DR1TPHOS	food component recall
DR1TPOTA	food component recall
DR1TPROT	food component recall
DR1TS040	food component recall
DR1TS060	food component recall
DR1TS080	food component recall
DR1TS100	food component recall
DR1TS120	food component recall
DR1TS140	food component recall
DR1TS160	food component recall
DR1TS180	food component recall
DR1TSELE	food component recall
DR1TSFAT	food component recall
DR1TTFAT	food component recall
DR1TTHEO	food component recall
DR1TVAIU	food component recall
DR1TVARE	food component recall
DR1TVB1	food component recall
DR1TVB12	food component recall
DR1TVB2	food component recall
DR1TVB6	food component recall
DR1TVC	food component recall
DR1TVE	food component recall
DR1TWATE	food component recall
DR1TZINC	food component recall
DRD320GW	food component recall
DRD330GW	food component recall
DRD340	food component recall
DRD350A	food component recall
DRD350AQ	food component recall
DRD350B	food component recall
DRD350BQ	food component recall
DRD350C	food component recall
DRD350CQ	food component recall
DRD350D	food component recall
DRD350DQ	food component recall
DRD350E	food component recall
DRD350EQ	food component recall
DRD350F	food component recall
DRD350FQ	food component recall
DRD350G	food component recall
DRD350GQ	food component recall
DRD350H	food component recall
DRD350HQ	food component recall
DRD350I	food component recall
DRD350IQ	food component recall
DRD350J	food component recall
DRD350JQ	food component recall
DRD350K	food component recall
DRD360	food component recall
DRD370A	food component recall
DRD370AQ	food component recall
DRD370B	food component recall
DRD370BQ	food component recall
DRD370C	food component recall
DRD370CQ	food component recall
DRD370D	food component recall
DRD370DQ	food component recall
DRD370E	food component recall
DRD370EQ	food component recall
DRD370F	food component recall
DRD370FQ	food component recall
DRD370G	food component recall
DRD370GQ	food component recall
DRD370H	food component recall
DRD370HQ	food component recall
DRD370I	food component recall
DRD370IQ	food component recall
DRD370J	food component recall
DRD370JQ	food component recall
DRD370K	food component recall
DRD370KQ	food component recall
DRD370L	food component recall
DRD370LQ	food component recall
DRD370M	food component recall
DRD370MQ	food component recall
DRD370N	food component recall
DRD370NQ	food component recall
DRD370O	food component recall
DRD370OQ	food component recall
DRD370P	food component recall
DRD370PQ	food component recall
DRD370Q	food component recall
DRD370QQ	food component recall
DRD370R	food component recall
DRD370RQ	food component recall
DRD370S	food component recall
DRD370SQ	food component recall
DRD370T	food component recall
DRD370TQ	food component recall
DRD370U	food component recall
DRD370UQ	food component recall
DRD370V	food component recall
DRDTSODI	food component recall
DBD100	food component recall
DBQ095	food component recall
DR1TACAR	food component recall
DR1TATOC	food component recall
DR1TBCAR	food component recall
DR1TCRYP	food component recall
DR1TFA	food component recall
DR1TFDFE	food component recall
DR1TFF	food component recall
DR1TLYCO	food component recall
DR1TLZ	food component recall
DR1TMOIS	food component recall
DR1TRET	food component recall
DR1TSUGR	food component recall
DR1TVARA	food component recall
DR1TVK	food component recall
DRDCWATR	food component recall
DRDDRSTZ	food component recall
DRDRESP	food component recall
lite_salt	food component recall
no_salt	food component recall
ordinary_salt	food component recall
salt_substitute	food component recall
community_supply	food component recall
DR1_320	food component recall
DR1_330	food component recall
DR1BWATR	food component recall
DR1CWATR	food component recall
DR1TATOA	food component recall
DR1TB12A	food component recall
DR1TSODI	food component recall
DRDSDT1	food component recall
DRDSDT2	food component recall
DRDSDT3	food component recall
DRDSDT4	food component recall
DRDSDT5	food component recall
DRDSDT6	food component recall
DRDSDT7	food component recall
DRDSDT8	food component recall
spring_water	food component recall
well_water	food component recall
DR1_330Z	food component recall
DR1TCHL	food component recall
LBXSCR	biochemistry
BMXWT	body measures
BMXRECUM	body measures
BMXHEAD	body measures
BMXHT	body measures
BMXBMI	body measures
BMXLEG	body measures
BMXCALF	body measures
BMXWAIST	body measures
BMXTHICR	body measures
BMXTRI	body measures
BMXSUB	body measures
BPXCHR	blood pressure
MSYS	blood pressure
MDIS	blood pressure
BPXPLS	blood pressure
supplement_count	supplement use
DSDCOUNT	supplement use
VITAMIN_B_6_mg	supplement use
VITAMIN_B_12_mcg	supplement use
VITAMIN_C_mg	supplement use
VITAMIN_A_IU	supplement use
FOLIC_ACID_mcg	supplement use
OMEGA_6_FATTY_ACIDS_NA	supplement use
OMEGA_3_FATTY_ACIDS_mg	supplement use
OMEGA_9_FATTY_ACIDS_NA	supplement use
OTHER_FATTY_ACIDS_NA	supplement use
OTHER_OMEGA_3_FATTY_ACIDS_NA	supplement use
ALANINE_mg	supplement use
ALCOHOL_PERCENT	supplement use
ARGININE_mg	supplement use
L_ASPARTIC_ACID_mg	supplement use
L_ASPARTIC_ACID_gm	supplement use
BETA_CAROTENE_IU	supplement use
BETA_CAROTENE_mg	supplement use
BETA_CAROTENE_mcg	supplement use
CAFFEINE_mg	supplement use
CALCIUM_mg	supplement use
CALCIUM_PPM	supplement use
CHOLESTEROL_mg	supplement use
COPPER_mg	supplement use
CYSTINE_mg	supplement use
L_GLUTAMINE_mg	supplement use
L_GLUTAMINE_gm	supplement use
